kata_slang;kata_baku
pattynama;shayne pattynama
pcr;pacar
pcran;pacaran
pd;pada
pda;pada
pdhal;padahal
pdhl;padahal
pebruari;februari
pedenya;percaya diri
pegang;pakai
pejabat;pegawai
pekaes;pks
pekok;bodoh
pelakyou;pelaku
pemapin;pemain
pemr;pemerintah
penalty kick;tendangan pinalti
penasaran;ingin tahu
pengen;ingin
penghianat;pengkhianat
pengin;mau
penguruse;urus
penumdaan;penundaan
penundaana;penundaan
penyerahan;memberikan
peraaatan;perataan
perangnye;perangnya
perbanjangan;perpanjangan
percayaan;percaya
peres;palsu
pergerakannya;gerakan
perikde;periode
periodelagi;periode lagi
perpanjamg;perpanjangan
perpanjangaan;perpanjangan
perpanjanggan;perpanjangan
perpanjmg;perpanjang
persepakbolaan;sepak bola
pesik;persik kediri
pg;pagi
pgg;pegang
php;pembohong
picek;rusak
pie;bagaimana
piee;bagaimana
pildun;piala dunia
pingin;ingin
pinter;pintar
pisan;sekalian
pk;pakai
pke;pakai
planning;rencana
play;bermain
plg;pulang
plonga plongo;terkejut
pls;tolong
plus;tambah
pngdil;pengadilan
pnh;pernah
pntg;penting
pnundaan;penundaan
pny;punya
point;inti
pointny;intinya
poles;bantu
politics;politik
polling;pemilihan
porak;rusak
positive thingking;berpikir Positif
postingan;unggahan
power;kuasa
prakompetisi;persaingan
praktek;praktik
prasmul;perasaan saja
prcya;percaya
predisen;presiden
preiode;periode
prengkap;perangkap
prihatin;khawatir
prilaku;perilaku
prinsipe;prinsipnya
priode;periode
private;pribadi
privilege;hak istimewa
prlu;perlu
prnh;pernah
problem;masalah
problematik;masalah
professional;profesional
provokssi;provokasi
prpanjangan;perpanjangan
pssinya;pssi
pst;pesat
ptovokasi;provokasi
ptuh;patuh
puas;gembira
publik;umum
pundasi;pondasi
puyeng;pusing
py;bagaimana
pyee;bagaimana
ra;tidak
raiso;tidak bisa
rak;tidak
rakyatmarah;rakyat marah
rancu;kacau
rangking;peringkat
ranking;peringkat
raono;tidak
rapopo;tidak
rasak rasakke;rasa rasanya
real;nyata
reasoneble;pantas
recokin;ganggu
recovery;penyembuhan
refrensi;petunjuk
regulasi;pengaturan
regulasi;peraturan
rekondisi;kondisi ulang
relate;sesuai
rempong;repot
repormasi;reformasi
reporter;penyusun laporan
reposted;diunggah lagi
representatif;tepat
resiko;risiko
respek;hormat
respons;tanggapan
response;respons
resufle;perombakan
result;hasil
reward;hadiah
rformasi;reformasi
ri;republik indonesia
ribet;susah
ributin;meributkan
rilis;resmi
rill;nyata
rip;meninggal dunia
riuh;berisik
rival;musuh
ro;sama
rojo;raja
role playing;bermain peran
rombak;ganti
ros;terus
rotfl;tertawa
rubah;ubah
rugi;menderita
runner;pelari
sabeb;bebas
sagala;segala
saiki;sekarang
sakno;nyusahin
salamm;salam
salh;salah
sama;dengan
sambut;menerima
sampa;sampai
sampe;sampai
sampean;anda
sangar;galak
sangsi;sanksi
sangsinya;sanksinya
sanksi;hukuman
saranya;sarannya
sateh;kamu
satusewu;seratus ribu
satuuuuuu;satu
sayamau;saya mau
sbg;sebagai
sblm;sebelum
sbnrnya;sebenarnya
sby;susilo bambang yudhoyono
sc;tangkapan layar
scandal;memalukan
schedule;jadwal
schedulenya;jadwalnya
scouting;kepanduan
screenshot;tangkapan layar
sdg;sedang
sdgkan;sedangkan
sdgkn;sedangkan
sdh;sudah
udah;sudah
seadnya;ada
season;sesi
sebenernya;sebenarnya
sebernarnya;sebenarnya
sefrekwensi;satu frekuensi
seharus;seharusnya
sekaliii;sekali
sekedar;sekadar
sela;celah
selamatin;selamatkan
selamatkeun;selamatkan
selametin;selamatin
selamtin;selamatkan
selebritis;terkenal
selip;meluangkan
selow;santai
semagat;semangat
seminfinalis;pemain semi final
semono;segitu
sempat;ada waktu
semrawut;rusak
senenagane;kesenangan
seneng;suka
seng;yang
senggol;sentuh
sengit;dahsyat
sengojo;sengaja
sensitifitas;sensitivitas
seorg;seorang
sepakbola;sepak bola
sepedah;sepeda
sepertiku;seperti saya
seremonial;pembukaan
series;seri
sertif;sertifikat
service;layanan
setback;kemunduran
setop;berhenti
setres;stres
settle;selesai
setujuannya;setuju
sgr;segera
sgt;sangat
sgtu;segitu
sgtuny;segitunya
share;bagi
sharing;berbagi
shg;sehingga
showone;pergi
siapaa;siapa
sidane;bisanya
sidane;jadinya
sien;takut
sigana;sepertinya
sikil;kaki
silahkan;silakan
simbah;basah
simpel;sederhana
simpulin;simpulkan
sing;yang
sini tae yong;shin tae yong
sipesek;si pesek
situ;kamu
sj;saja
sjjurny;sejujurnya
sk;surat keputusan
skali;sekali
skema;bagan
skg;sekarang
skolah;sekolah
skrg;sekarang
skrisut;tangkapan layar
slalu;selalu
slh;salah
sll;selalu
slot;tempat
sm;sama
smg;semoga
smga;semoga
smntr;sementara
smoke;asap
smp;sampai
smw;semua
smwnya;semuanya
sndiri;sendiri
sndri;sendiri
sobat;sahabat
socmed;media sosial
sold;habis
songong;sombong
sono;sana
sopo;siapa
sosmed;media sosial
sound;suara
soyo;semakin
sperti;seperti
spk;sepak
sports;olahraga
sprti;seperti
sprtnya;sepertinya
spt;seperti
spy;supaya
ss;tangkapan layar
ss;tangkapan layar
ssb;sekolah sepak bola
ssk;besok
ssuaikn;sesuaikan
ssuikn;sesuaikan
stage;panggung
star;mulai
statemen;pernyataan
statement;pernyataan
stetment;pernyataan
stj;setuju
stlh;setelah
stop;berhenti
stoplah;berhenti
stuju;setuju
sty;shin tae yong
subtansi;substansi
subtansial;sesungguhnya
sudi;rela
sugbk;stadion utama gelora bung karno
sumbu;benang
super;hebat
suporter;dukung
support;dukung
supporter;penonton
supporternya;pendukungnya
survey;survei
survive settle;bertahan menetap
survive;tahan
suu;anjing
suuu;anjing
sy;saya
sya;saya
syahwat;nafsu
syg;sayang
taii;tai
taik;tai
tak;mau
takokno;tanyakan
takutny;takutnya
tambhan;tambahan
tampeleng;pukul
tanding;berlawanan
tas;setelah
tau;tahu
taun;tahun
taunya;tahunya
tc;pusat pelatihan
td;tadi
tdk;tidak
team;tim
tegasan;tegas
tehnik;teknik
teko;datang
tekuk;kalah
telor;telur
temen;teman
tempek;lihat
tenan;banget
tengsin;malu
tepis;tolak
terdekatny;terdekatnya
